CGPA,IQ,Placement
8.75,136,1
9.9,128,1
9.46,152,1
9.2,139,1
8.31,132,1
8.31,147,1
8.12,148,1
9.73,132,1
9.2,154,1
9.42,125,1
8.04,137,1
9.94,124,1
9.66,144,1
8.42,121,1
8.36,129,1
8.37,149,1
8.61,124,1
9.05,152,1
8.86,120,1
8.58,137,1
9.22,151,1
8.28,130,1
8.58,140,1
8.73,145,1
8.91,144,1
9.57,141,1
8.4,146,1
9.03,132,1
9.18,152,1
8.09,153,1
9.22,160,1
8.34,154,1
8.13,120,1
9.9,140,1
9.93,125,1
9.62,147,1
8.61,136,1
8.2,124,1
9.37,150,1
8.88,124,1
8.24,157,1
8.99,122,1
8.07,142,1
9.82,156,1
8.52,156,1
9.33,129,1
8.62,129,1
9.04,138,1
9.09,136,1
8.37,140,1
9.94,133,1
9.55,128,1
9.88,120,1
9.79,132,1
9.2,123,1
9.84,120,1
8.18,159,1
8.39,151,1
8.09,153,1
8.65,147,1
8.78,150,1
8.54,127,1
9.66,158,1
8.71,145,1
8.56,153,1
9.09,122,1
8.28,131,1
9.6,120,1
8.15,124,1
9.97,149,1
9.54,149,1
8.4,136,1
8.01,142,1
9.63,134,1
9.41,156,1
9.46,140,1
9.54,133,1
8.15,121,1
8.72,130,1
8.23,158,1
9.73,157,1
9.25,153,1
8.66,157,1
8.13,153,1
8.62,137,1
8.65,149,1
9.46,134,1
9.28,146,1
9.77,153,1
8.94,157,1
8.24,152,1
9.43,143,1
9.52,134,1
9.12,149,1
9.54,136,1
8.99,124,1
9.05,148,1
8.86,123,1
8.05,129,1
8.22,136,1
8.06,129,1
9.27,136,1
8.63,139,1
9.02,143,1
9.82,124,1
8.5,153,1
8.82,125,1
9.51,121,1
8.46,132,1
8.15,130,1
8.58,142,1
8.32,135,1
9.86,150,1
9.62,130,1
9.27,135,1
9.74,127,1
9.61,123,1
8.37,159,1
9.79,123,1
9.08,144,1
9.61,122,1
9.79,151,1
8.64,122,1
8.22,146,1
8.46,148,1
8.85,151,1
9.64,138,1
9.72,140,1
8.01,124,1
9.02,137,1
8.83,147,1
8.44,141,1
8.24,140,1
8.68,125,1
9.89,120,1
8.65,124,1
9.04,160,1
9.41,131,1
8.73,145,1
9.94,153,1
9.92,133,1
8.5,145,1
8.99,146,1
8.6,128,1
8.57,145,1
8.07,141,1
9.22,149,1
9.01,136,1
8.1,145,1
8.56,155,1
9.82,120,1
8.48,127,1
8.29,154,1
8.98,134,1
9.97,141,1
8.48,133,1
9.34,145,1
9.52,147,1
8.48,142,1
9.46,133,1
8.74,143,1
9.26,121,1
9.27,145,1
9.07,133,1
8.18,126,1
9.67,122,1
8.64,142,1
8.37,137,1
8.08,157,1
9.18,154,1
9.36,134,1
8.03,144,1
9.02,156,1
8.45,147,1
9.29,129,1
8.35,158,1
9.38,136,1
8.77,158,1
9.87,141,1
8.28,145,1
8.68,144,1
8.23,136,1
9.85,132,1
9.75,139,1
8.52,144,1
9.32,123,1
9.63,129,1
9.11,122,1
9.06,160,1
8.48,137,1
8.19,155,1
9.79,141,1
9.8,153,1
9.27,127,1
8.68,159,1
8.7,138,1
9.45,160,1
9.79,156,1
9.77,125,1
9.56,145,1
9.28,153,1
8.17,125,1
8.32,156,1
9.8,152,1
9.21,141,1
8.02,140,1
8.2,125,1
9.33,125,1
8.01,123,1
8.32,149,1
9.1,130,1
9.38,149,1
9.3,150,1
8.45,143,1
9.42,128,1
8.47,122,1
8.65,150,1
9.49,159,1
9.3,156,1
